title,score,pose
5281613_01,-9.297,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_htvs/5281613_01.pdbqt
5281600_01,-9.151,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_htvs/5281600_01.pdbqt
442428_01,-8.476,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_htvs/442428_01.pdbqt
10621_01,-8.396,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_htvs/10621_01.pdbqt
65064_01,-8.327,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_htvs/65064_01.pdbqt
72307_01,-8.151,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_htvs/72307_01.pdbqt
44259_01,-8.1,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_htvs/44259_01.pdbqt
31553_01,-7.964,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_htvs/31553_01.pdbqt
6072_01,-7.962,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_htvs/6072_01.pdbqt
60700_01,-7.866,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_htvs/60700_01.pdbqt
24360_01,-7.828,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_htvs/24360_01.pdbqt
64982_01,-7.825,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_htvs/64982_01.pdbqt
185617_01,-7.791,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_htvs/185617_01.pdbqt
10302451_01,-7.789,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_htvs/10302451_01.pdbqt
5280459_01,-7.777,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_htvs/5280459_01.pdbqt
5280805_01,-7.725,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_htvs/5280805_01.pdbqt
122724_01,-7.672,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_htvs/122724_01.pdbqt
54684824_01,-7.625,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_htvs/54684824_01.pdbqt
168928_01,-7.619,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_htvs/168928_01.pdbqt
3062316_01,-7.603,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_htvs/3062316_01.pdbqt
5213_01,-7.597,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_htvs/5213_01.pdbqt
265237_01,-7.586,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_htvs/265237_01.pdbqt
46173925_01,-7.516,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_htvs/46173925_01.pdbqt
73620_01,-7.489,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_htvs/73620_01.pdbqt
5281792_01,-7.471,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_htvs/5281792_01.pdbqt
8969_01,-7.463,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_htvs/8969_01.pdbqt
60838_01,-7.44,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_htvs/60838_01.pdbqt
9064_01,-7.426,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_htvs/9064_01.pdbqt
10494_01,-7.359,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_htvs/10494_01.pdbqt
107985_01,-7.325,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_htvs/107985_01.pdbqt
442009_01,-7.23,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_htvs/442009_01.pdbqt
108065_01,-7.225,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_htvs/108065_01.pdbqt
5281855_01,-7.202,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_htvs/5281855_01.pdbqt
5281625_01,-7.192,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_htvs/5281625_01.pdbqt
