title,score,pose
5281613_01,-9.312,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_sp/5281613_01.pdbqt
5281600_01,-8.949,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_sp/5281600_01.pdbqt
65064_01,-8.433,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_sp/65064_01.pdbqt
10621_01,-8.408,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_sp/10621_01.pdbqt
72307_01,-8.153,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_sp/72307_01.pdbqt
44259_01,-8.104,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_sp/44259_01.pdbqt
31553_01,-8.022,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_sp/31553_01.pdbqt
10302451_01,-7.984,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_sp/10302451_01.pdbqt
64982_01,-7.966,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_sp/64982_01.pdbqt
60700_01,-7.918,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_sp/60700_01.pdbqt
24360_01,-7.83,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_sp/24360_01.pdbqt
185617_01,-7.803,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_sp/185617_01.pdbqt
442428_01,-7.639,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_sp/442428_01.pdbqt
6072_01,-7.024,/home/ankit/Thesis/SRCVS/out/03_dock/poses/_sp/6072_01.pdbqt
