title,score,pose,sdf
5281613_01,-9.299,/home/ankit/Thesis/SRCVS/out/03_dock/poses/5281613_01.pdbqt,/home/ankit/Thesis/SRCVS/out/03_dock/poses/5281613_01.sdf
5281600_01,-9.208,/home/ankit/Thesis/SRCVS/out/03_dock/poses/5281600_01.pdbqt,/home/ankit/Thesis/SRCVS/out/03_dock/poses/5281600_01.sdf
442428_01,-8.497,/home/ankit/Thesis/SRCVS/out/03_dock/poses/442428_01.pdbqt,/home/ankit/Thesis/SRCVS/out/03_dock/poses/442428_01.sdf
10621_01,-8.348,/home/ankit/Thesis/SRCVS/out/03_dock/poses/10621_01.pdbqt,/home/ankit/Thesis/SRCVS/out/03_dock/poses/10621_01.sdf
65064_01,-8.257,/home/ankit/Thesis/SRCVS/out/03_dock/poses/65064_01.pdbqt,/home/ankit/Thesis/SRCVS/out/03_dock/poses/65064_01.sdf
31553_01,-8.185,/home/ankit/Thesis/SRCVS/out/03_dock/poses/31553_01.pdbqt,/home/ankit/Thesis/SRCVS/out/03_dock/poses/31553_01.sdf
72307_01,-8.148,/home/ankit/Thesis/SRCVS/out/03_dock/poses/72307_01.pdbqt,/home/ankit/Thesis/SRCVS/out/03_dock/poses/72307_01.sdf
44259_01,-8.103,/home/ankit/Thesis/SRCVS/out/03_dock/poses/44259_01.pdbqt,/home/ankit/Thesis/SRCVS/out/03_dock/poses/44259_01.sdf
10302451_01,-7.954,/home/ankit/Thesis/SRCVS/out/03_dock/poses/10302451_01.pdbqt,/home/ankit/Thesis/SRCVS/out/03_dock/poses/10302451_01.sdf
60700_01,-7.917,/home/ankit/Thesis/SRCVS/out/03_dock/poses/60700_01.pdbqt,/home/ankit/Thesis/SRCVS/out/03_dock/poses/60700_01.sdf
64982_01,-7.838,/home/ankit/Thesis/SRCVS/out/03_dock/poses/64982_01.pdbqt,/home/ankit/Thesis/SRCVS/out/03_dock/poses/64982_01.sdf
24360_01,-7.822,/home/ankit/Thesis/SRCVS/out/03_dock/poses/24360_01.pdbqt,/home/ankit/Thesis/SRCVS/out/03_dock/poses/24360_01.sdf
185617_01,-7.804,/home/ankit/Thesis/SRCVS/out/03_dock/poses/185617_01.pdbqt,/home/ankit/Thesis/SRCVS/out/03_dock/poses/185617_01.sdf
6072_01,-7.025,/home/ankit/Thesis/SRCVS/out/03_dock/poses/6072_01.pdbqt,/home/ankit/Thesis/SRCVS/out/03_dock/poses/6072_01.sdf
