name,smiles,score,mw,logp,hbd,hba,tpsa,rotors,lipinski_violations,veber_pass,logbb,caco2,mdck,herg_logic50,pains_pass
5281613_01,COc1ccc(-c2cc(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3o2)cc1O,-9.299,608.5490000000002,-1.0897,8,15,238.19999999999996,7,3,False,-3.5519944,0.0,0.0,-3.0,True
5281600_01,O=c1cc(-c2ccc(O)c(-c3c(O)cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)c2)oc2cc(O)cc(O)c12,-9.208,538.4640000000002,5.134000000000007,6,10,181.8,3,3,False,-1.771271999999999,0.0,0.0,-4.067000000000004,True
442428_01,C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3cc(O)c4c(c3)O[C@H](c3ccc(O)cc3)CC4=O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,-8.497,580.5390000000003,-1.1652000000000007,8,14,225.05999999999997,6,3,False,-3.3689983999999997,0.0,0.0,-3.0,True
10621_01,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1O,-8.348,610.5650000000002,-1.1566,8,15,234.28999999999996,7,3,False,-3.5042951999999996,0.0,0.0,-3.0,True
65064_01,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,-8.257,458.37500000000017,2.233199999999999,8,11,197.36999999999998,3,2,False,-2.4426296,0.0,0.0,-3.0,False
31553_01,COc1cc([C@H]2Oc3cc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)ccc3O[C@@H]2CO)ccc1O,-8.185,482.4410000000002,2.3627,5,10,155.14,4,0,False,-1.7979416000000001,0.0,0.0,-3.0,True
72307_01,c1cc2c(cc1[C@H]1OC[C@H]3[C@@H]1CO[C@@H]3c1ccc3c(c1)OCO3)OCO2,-8.148,354.3580000000002,3.2192000000000007,0,6,55.38000000000001,2,0,True,-0.19130560000000002,58.984070399999986,53.08566335999999,-3.1096000000000004,True
44259_01,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,-8.103,466.5410000000003,4.354000000000003,2,4,69.45,2,0,True,-0.2270519999999996,43.851470000000006,39.46632300000001,-3.6770000000000014,True
10302451_01,CN1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c(Cl)ccc5c4OCO5)ncnc3c2)CC1,-7.954,542.0360000000002,3.9395000000000024,1,10,90.44000000000001,8,1,True,-0.6007079999999998,13.326161999999986,11.993545799999987,-3.4697500000000012,True
60700_01,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,-7.917,421.4530000000002,1.8468000000000002,2,7,104.89,3,0,True,-1.1326584000000002,0.0,0.0,-3.0,False
64982_01,O=C(O)[C@@H]1O[C@@H](Oc2cc3oc(-c4ccccc4)cc(=O)c3c(O)c2O)[C@H](O)[C@@H](O)[C@@H]1O,-7.838,446.36400000000015,0.14219999999999955,6,10,187.11999999999998,4,1,False,-2.6087616000000002,0.0,0.0,-3.0,False
24360_01,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,-7.822,348.35800000000006,2.0796,1,5,81.42,1,0,True,-0.7499168,22.443896799999997,20.19950712,-3.0,True
185617_01,O=C(O)[C@@H]1O[C@@H](Oc2cc3oc(-c4ccc(O)cc4)cc(=O)c3c(O)c2O)[C@H](O)[C@@H](O)[C@@H]1O,-7.804,462.36300000000017,-0.15220000000000056,7,11,207.35,4,2,False,-2.9529144,0.0,0.0,-3.0,False
6072_01,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,-7.025,436.4130000000001,-0.2024000000000002,7,10,177.14,7,1,False,-2.5134368,0.0,0.0,-3.0,True
