frame,time,protein_rmsd,ligand_rmsd
0.000000000000000000e+00,1.000000002981405700e+01,1.496247368913147312e-06,4.934511502055519775e-07,8.223791673281221195e-07
1.000000000000000000e+00,2.000000005962811400e+01,1.490903030483977432e+00,1.490902913305601984e+00,1.731639748488422503e+00
2.000000000000000000e+00,3.000000008944217100e+01,1.478941780341557655e+00,1.478941734933066465e+00,2.993546309955481100e+00
3.000000000000000000e+00,4.000000011925622800e+01,1.665369530201328052e+00,1.665369557092839514e+00,2.292218318033963254e+00
4.000000000000000000e+00,5.000000014907028856e+01,1.595776431477529789e+00,1.595776400657818339e+00,3.152288813607929008e+00
5.000000000000000000e+00,6.000000017888434201e+01,1.800773661883168453e+00,1.800773666598588507e+00,2.398569037834191509e+00
6.000000000000000000e+00,7.000000020869839545e+01,1.698787231805553688e+00,1.698787234025634696e+00,1.502301929705283756e+00
7.000000000000000000e+00,8.000000023851245601e+01,2.219678774641423935e+00,2.219678783332387884e+00,2.368096292675112569e+00
8.000000000000000000e+00,9.000000026832651656e+01,2.301990723189623278e+00,2.301990725313237451e+00,2.904461160260038977e+00
9.000000000000000000e+00,1.000000002981405771e+02,2.423171981327395752e+00,2.423171911670416012e+00,1.703748685660215312e+00
1.000000000000000000e+01,1.100000003279546235e+02,2.476860701110639162e+00,2.476860671223295007e+00,2.116309814655045862e+00
1.100000000000000000e+01,1.200000003577686840e+02,2.970670648236743094e+00,2.970670697245727077e+00,2.794838371068292915e+00
1.200000000000000000e+01,1.300000003875827304e+02,2.812943811779003767e+00,2.812943837271597136e+00,3.558091174854917327e+00
1.300000000000000000e+01,1.400000004173967909e+02,2.506905967316132244e+00,2.506905913648957984e+00,4.361599360099291722e+00
1.400000000000000000e+01,1.500000004472108515e+02,2.600474280952025818e+00,2.600474196044354258e+00,2.792609633785785750e+00
1.500000000000000000e+01,1.600000004770249120e+02,2.584540087967060806e+00,2.584540137151225103e+00,3.479263363802673314e+00
1.600000000000000000e+01,1.700000005068389726e+02,2.992492541084749380e+00,2.992492548676307873e+00,4.426736565020148895e+00
1.700000000000000000e+01,1.800000005366530331e+02,3.166886471747991649e+00,3.166886449182571006e+00,5.273512493792373412e+00
1.800000000000000000e+01,1.900000005664670937e+02,3.166189457397869056e+00,3.166189416651542299e+00,4.546867559494682354e+00
1.900000000000000000e+01,2.000000005962811542e+02,3.275858607989405424e+00,3.275858574289868042e+00,3.201369307203158598e+00
2.000000000000000000e+01,2.100000006260951864e+02,3.199523627698401373e+00,3.199523524052527268e+00,4.050539882038808770e+00
2.100000000000000000e+01,2.200000006559092469e+02,3.287000351762986661e+00,3.287000272807680368e+00,3.616994514591751031e+00
2.200000000000000000e+01,2.300000006857233075e+02,3.225382257385866147e+00,3.225382297841068446e+00,2.537367532186719732e+00
2.300000000000000000e+01,2.400000007155373680e+02,3.206126915533051847e+00,3.206126924841723458e+00,2.252364017375006355e+00
2.400000000000000000e+01,2.500000007453514286e+02,3.103774480063946850e+00,3.103774556640556348e+00,4.175944418389602397e+00
2.500000000000000000e+01,2.600000007751654607e+02,3.217766617207622470e+00,3.217766570627404121e+00,4.301671271985537004e+00
2.600000000000000000e+01,2.700000008049795497e+02,3.142765210280795696e+00,3.142765314945854538e+00,3.167989544226409659e+00
2.700000000000000000e+01,2.800000008347935818e+02,3.345209340087576422e+00,3.345209273601509992e+00,4.080931174064915901e+00
2.800000000000000000e+01,2.900000008646076708e+02,3.331215025402894714e+00,3.331214991175729612e+00,4.307116879749752769e+00
2.900000000000000000e+01,3.000000008944217029e+02,3.241011036265144529e+00,3.241010922367585145e+00,4.445541112809392459e+00
3.000000000000000000e+01,3.100000009242357919e+02,3.184901782757295408e+00,3.184901755170691295e+00,4.737405070883348834e+00
3.100000000000000000e+01,3.200000009540498240e+02,2.912148358828812178e+00,2.912148360177298834e+00,4.017492064557087517e+00
3.200000000000000000e+01,3.300000009838638562e+02,3.470278227365690693e+00,3.470278135546745801e+00,4.671873292417284773e+00
3.300000000000000000e+01,3.400000010136779451e+02,3.526525747249638076e+00,3.526525679652734890e+00,4.415926223539828221e+00
3.400000000000000000e+01,3.500000010434919773e+02,3.576097542825880105e+00,3.576097486582745510e+00,2.836696794447520986e+00
3.500000000000000000e+01,3.600000010733060662e+02,3.414567798127865483e+00,3.414567850155655115e+00,3.461032553788629951e+00
3.600000000000000000e+01,3.700000011031200984e+02,3.479840329003638821e+00,3.479840288064906861e+00,3.293038653088300904e+00
3.700000000000000000e+01,3.800000011329341874e+02,3.427823437971261544e+00,3.427823379807316773e+00,3.689454958041260557e+00
3.800000000000000000e+01,3.900000011627482195e+02,3.420213751596179907e+00,3.420213600536874843e+00,3.417298655086061565e+00
3.900000000000000000e+01,4.000000011925623085e+02,3.681391099149701418e+00,3.681391123941806232e+00,4.338708036408990942e+00
4.000000000000000000e+01,4.100000012223763406e+02,3.357283101670287540e+00,3.357283010596166406e+00,3.429559148427152593e+00
4.100000000000000000e+01,4.200000012521903727e+02,3.537881188476812877e+00,3.537881150703011013e+00,3.375880328891849302e+00
4.200000000000000000e+01,4.300000012820044617e+02,3.454773387687451347e+00,3.454773388392793798e+00,2.704123369448457659e+00
4.300000000000000000e+01,4.400000013118184938e+02,3.414419193445255463e+00,3.414419193942753950e+00,2.935216130242532362e+00
4.400000000000000000e+01,4.500000013416325828e+02,3.664281728892081258e+00,3.664281694739120354e+00,3.844107075366503423e+00
4.500000000000000000e+01,4.600000013714466149e+02,3.689690025600355749e+00,3.689690021841168122e+00,3.216245590380846675e+00
4.600000000000000000e+01,4.700000014012607039e+02,3.491772831022929680e+00,3.491772802935081188e+00,2.702860469790977049e+00
4.700000000000000000e+01,4.800000014310747360e+02,3.348016580623065952e+00,3.348016526903486945e+00,6.543011961314032732e+00
4.800000000000000000e+01,4.900000014608887682e+02,3.438553993220288874e+00,3.438553876290991962e+00,7.924642110475730306e+00
4.900000000000000000e+01,5.000000014907028572e+02,3.107270055151432508e+00,3.107270019100041747e+00,6.720066580675786660e+00
5.000000000000000000e+01,5.100000015205168893e+02,3.350342462011947298e+00,3.350342414633872057e+00,6.689905833490878528e+00
5.100000000000000000e+01,5.200000015503309214e+02,3.643636793334423363e+00,3.643636727168904965e+00,8.022739968348487238e+00
5.200000000000000000e+01,5.300000015801450672e+02,3.695661055565739872e+00,3.695661033918313798e+00,1.128410476306389931e+01
5.300000000000000000e+01,5.400000016099590994e+02,3.551178115923064205e+00,3.551178031666341717e+00,1.205385375386591384e+01
5.400000000000000000e+01,5.500000016397731315e+02,3.514606528898376769e+00,3.514606511353268736e+00,1.126152415086608016e+01
5.500000000000000000e+01,5.600000016695871636e+02,3.604817222035092694e+00,3.604817192468622533e+00,1.022589292281049289e+01
5.600000000000000000e+01,5.700000016994011958e+02,3.811701356110144712e+00,3.811701351398800508e+00,1.134135980085987860e+01
5.700000000000000000e+01,5.800000017292153416e+02,3.325665910027954197e+00,3.325665884264952243e+00,1.208059159049889075e+01
5.800000000000000000e+01,5.900000017590293737e+02,3.290394076254981925e+00,3.290394148311761136e+00,1.040177094361446741e+01
5.900000000000000000e+01,6.000000017888434058e+02,3.457799840277527181e+00,3.457799817174145751e+00,1.020527299532382237e+01
6.000000000000000000e+01,6.100000018186574380e+02,3.571782717807643337e+00,3.571782694325656315e+00,9.969677554282968757e+00
6.100000000000000000e+01,6.200000018484715838e+02,3.738752482568319380e+00,3.738752453050361524e+00,9.920841641040878400e+00
6.200000000000000000e+01,6.300000018782856159e+02,3.713695194458217053e+00,3.713695212039790583e+00,9.466534664081205364e+00
6.300000000000000000e+01,6.400000019080996481e+02,3.972500927596213760e+00,3.972500928768658124e+00,1.062488476643998681e+01
6.400000000000000000e+01,6.500000019379136802e+02,3.783368501784229121e+00,3.783368459515450866e+00,1.010888137003043319e+01
6.500000000000000000e+01,6.600000019677277123e+02,3.826394854871631335e+00,3.826394846411118600e+00,1.003659878758894664e+01
6.600000000000000000e+01,6.700000019975418581e+02,3.566244657701798104e+00,3.566244630626901557e+00,1.004378317838240342e+01
6.700000000000000000e+01,6.800000020273558903e+02,3.678722769055132513e+00,3.678722785592138944e+00,9.984561235429712411e+00
6.800000000000000000e+01,6.900000020571699224e+02,3.700809237279357511e+00,3.700809213607751502e+00,9.613675335353004670e+00
6.900000000000000000e+01,7.000000020869839545e+02,3.644969560044480694e+00,3.644969595515088034e+00,1.054138399009684157e+01
7.000000000000000000e+01,7.100000021167981004e+02,3.877827452113010498e+00,3.877827466131692269e+00,1.048517540405552317e+01
7.100000000000000000e+01,7.200000021466121325e+02,3.995198715341657714e+00,3.995198713019556092e+00,9.817765058228715702e+00
7.200000000000000000e+01,7.300000021764261646e+02,4.242178450734084727e+00,4.242178437820882664e+00,1.017851511527280550e+01
7.300000000000000000e+01,7.400000022062401968e+02,4.099663919681047375e+00,4.099663960651708017e+00,9.356900760756353463e+00
7.400000000000000000e+01,7.500000022360542289e+02,4.025039643366157271e+00,4.025039637098723588e+00,1.021300077374595539e+01
7.500000000000000000e+01,7.600000022658683747e+02,4.281323322863555880e+00,4.281323280554969912e+00,1.032362625940768730e+01
7.600000000000000000e+01,7.700000022956824068e+02,4.721379514039838021e+00,4.721379482274277173e+00,9.847541137709932002e+00
7.700000000000000000e+01,7.800000023254964390e+02,4.461265240240846808e+00,4.461265232957601690e+00,9.762071684127842985e+00
7.800000000000000000e+01,7.900000023553104711e+02,4.278868818228804827e+00,4.278868819043738725e+00,1.003329597387543259e+01
7.900000000000000000e+01,8.000000023851246169e+02,4.596323975447814014e+00,4.596323889540676610e+00,9.370901088965000625e+00
8.000000000000000000e+01,8.100000024149386491e+02,4.811884443877672446e+00,4.811884442410116591e+00,9.775760251318789784e+00
8.100000000000000000e+01,8.200000024447526812e+02,4.499901049761272809e+00,4.499901000840110576e+00,1.000024930272794954e+01
8.200000000000000000e+01,8.300000024745667133e+02,4.565971205445918280e+00,4.565971235366592218e+00,1.037117363459464947e+01
8.300000000000000000e+01,8.400000025043807454e+02,4.688460243782945014e+00,4.688460155002099228e+00,1.012747342708524734e+01
8.400000000000000000e+01,8.500000025341948913e+02,4.566385300931450786e+00,4.566385344758713494e+00,9.447978410815876416e+00
8.500000000000000000e+01,8.600000025640089234e+02,4.459539408347205303e+00,4.459539448177529231e+00,9.718475497886212011e+00
8.600000000000000000e+01,8.700000025938229555e+02,4.685150014361787463e+00,4.685150044478771925e+00,1.025855616654309088e+01
8.700000000000000000e+01,8.800000026236369877e+02,4.732261453853968014e+00,4.732261481986181018e+00,1.053864465173064957e+01
8.800000000000000000e+01,8.900000026534510198e+02,4.750968303505268331e+00,4.750968243263743673e+00,9.588223605248435533e+00
8.900000000000000000e+01,9.000000026832651656e+02,4.325989081726920205e+00,4.325989030588960560e+00,9.501895160672329865e+00
9.000000000000000000e+01,9.100000027130791977e+02,3.793252873155381621e+00,3.793252854431492960e+00,9.947585220248072346e+00
9.100000000000000000e+01,9.200000027428932299e+02,3.992862088797230147e+00,3.992862047822946181e+00,1.017633209413786588e+01
9.200000000000000000e+01,9.300000027727072620e+02,4.109746642680470963e+00,4.109746623065934301e+00,9.603658316054707100e+00
9.300000000000000000e+01,9.400000028025214078e+02,4.433828876276042052e+00,4.433828910895560860e+00,1.053671400734341645e+01
9.400000000000000000e+01,9.500000028323354400e+02,4.477895992515292356e+00,4.477896011177453950e+00,1.011740774732050951e+01
9.500000000000000000e+01,9.600000028621494721e+02,4.526868519306598060e+00,4.526868492856713999e+00,1.031061413074694322e+01
9.600000000000000000e+01,9.700000028919635042e+02,4.955163570146865482e+00,4.955163535114399664e+00,1.146812590652097619e+01
9.700000000000000000e+01,9.800000029217775364e+02,4.689565128990309084e+00,4.689565084849126819e+00,1.024090646836898166e+01
9.800000000000000000e+01,9.900000029515916822e+02,4.374337604023145865e+00,4.374337503467899069e+00,1.101155316014554586e+01
