lead,seed,frame,dG_bind
44259_01,1,100,-28.69426846646783
44259_01,1,110,-47.95763901236412
44259_01,1,120,-50.82472029134922
44259_01,1,130,-51.806761058213525
44259_01,1,140,-54.35437692047796
44259_01,1,150,-46.84104171518463
44259_01,1,160,-51.37633533532881
44259_01,1,170,-49.72490005218913
44259_01,1,180,-55.58287208150962
44259_01,1,190,-44.7305829910963
72307_01,1,100,-17.28787155739527
72307_01,1,110,-18.6874310347021
72307_01,1,120,-17.401635789832923
72307_01,1,130,-21.540387535358633
72307_01,1,140,-25.239396998695597
72307_01,1,150,-24.138935645415785
72307_01,1,160,-23.610830140515972
72307_01,1,170,-28.715864228300006
72307_01,1,180,-23.46292798291418
72307_01,1,190,-24.387559551411314
